Organization Name,Total Funding Amount Currency (in USD),Funding Type,stagename,Analise descarte,,
Loft,"$888,000,000",Series A,Registered,Não tivemos acesso,,
Facily,"$502,400,000",Series A,Discard,Verdadeiro Negativo,,Pre Seed
EBANX,"$460,000,000",Series A,Discard,Não se aplica,,Seed
Clara,"$408,500,000",Series A,Discard,Não tivemos acesso,,Series A
unico IDtech,"$336,857,766",Series A,Registered,Não tivemos acesso,,
Solfácil,"$285,309,943",Series A,Discard,Falso Negativo,,
Wildlife Studios,"$260,000,000",Series A,Registered,Não tivemos acesso,,
Cora,"$254,563,662",Series A,Registered,Não tivemos acesso,,
2TM,"$250,300,000",Series A,,Não tivemos acesso,,
tembici.,"$183,936,817",Series A,,Não tivemos acesso,,
Alice,"$178,300,000",Series A,Registered,Não tivemos acesso,,
Take Blip,"$170,000,000",Series A,Registered,Não tivemos acesso,,
Kovi,"$164,600,000",Series A,Registered,Não tivemos acesso,,
Buser,"$138,449,367",Series A,Discard,Não tivemos acesso,,
Omie,"$137,584,423",Series A,Cadastro Startup,Não tivemos acesso,,
CERC Central de Recebíveis S.A.,"$134,870,040",Series A,,Não tivemos acesso,,
Flash,"$130,000,000",Series A,Discard,Não tivemos acesso,,
Yellow,"$125,300,000",Series A,Discard,Verdadeiro negativo,,
isaac,"$125,000,000",Series A,Discard,Não tivemos acesso,,
Nomad,"$117,515,939",Series A,Discard,Não tivemos acesso,,
Semantix,"$109,000,000",Series A,Discard,Não se aplica,,
Shopper,"$107,142,137",Series A,Registered,Não tivemos acesso,,
Agrolend,"$106,880,232",Series A,Discard,Falso Negativo,,
Solides,"$105,923,542",Series A,Discard,Não tivemos acesso,,
Warren Investimentos,"$104,599,278",Series A,Registered,Não tivemos acesso,,
Gupy,"$104,557,814",Series A,Discard,Não tivemos acesso,,
Nelogica,"$103,058,012",Series A,Registered,Não tivemos acesso,,
Digibee,"$99,278,764",Series A,Discard,Falso Negativo,,
Liv Up,"$88,511,253",Series A,Discard,Falso Negativo,,
Fazenda Futuro,"$83,819,015",Series A,,Não tivemos acesso,,
Inventa,"$80,358,865",Series A,Registered,Não tivemos acesso,,
Educbank,"$78,200,000",Series A,Discard,Falso Negativo,,
Turbi,"$72,868,995",Series A,Portfolio,,,
Paketá,"$66,764,862",Series A,Discard,Falso Negativo,,
Zoop,"$65,216,791",Series A,Discard,Não tivemos acesso,,
WEEL,"$63,115,041",Series A,Discard,Não tivemos acesso,,
Rebel,"$62,111,288",Series A,Cadastro Startup,Não tivemos acesso,,
Mottu,"$62,000,000",Series A,Discard,Falso Negativo,,
Stark Bank,"$61,083,555",Series A,Discard,Falso Negativo,,
a55,"$58,766,337",Series A,Registered,Não tivemos acesso,,
Hash,"$58,700,000",Series A,Registered,Não tivemos acesso,,
Blu,"$57,455,855",Series A,Registered,Não tivemos acesso,,
Sami,"$54,981,000",Series A,Registered,Não tivemos acesso,,
idwall,"$51,800,000",Series A,Cadastro Startup,Não tivemos acesso,,
CRM & BÔNUS,"$50,970,246",Series A,Registered,Não tivemos acesso,,
QI Tech,"$50,000,000",Series A,Discard,Falso Negativo,,
Adventures,"$50,000,000",Series A,,Não tivemos acesso,,
will bank,"$48,316,648",Series A,Zero,Não tivemos acesso,,
Gringo,"$47,694,673",Series A,Discard,Lost to another players,,
Carbonext,"$45,784,583",Series A,Registered,Não tivemos acesso,,
Principia,"$45,619,207",Series A,Discard,Não tivemos acesso,,
Cobli,"$45,000,000",Series A,Discard,Não tivemos acesso,,
Justos,"$44,600,000",Series A,Registered,Não tivemos acesso,,
Iugu,"$44,420,202",Series A,Discard,Falso Negativo,,
TerraMagna,"$42,760,000",Series A,Discard,Não tivemos acesso,,
Pier,"$42,080,962",Series A,Discard,Falso Negativo,,
Sky.One Solutions,"$40,637,854",Series A,Registered,Não tivemos acesso,,
Tino,"$40,500,000",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
Trybe,"$40,095,306",Series A,Discard,Não tivemos acesso,,
180° Insurance,"$39,618,155",Series A,Registered,Não tivemos acesso,,
Vammo,"$38,500,000",Series A,,Não tivemos acesso,,
Rei do Pitaco,"$38,200,000",Series A,Discard,Lost to another players,,
Caju,"$36,076,969",Series A,Discard,Falso Negativo,,
BeeTech,"$34,665,179",Series A,Discard,Não se aplica,,
Cayena,"$34,000,000",Series A,Discard,Falso Negativo,,
Plugify,"$33,675,749",Series A,Discard,Não tivemos acesso,,
BHub.com,"$32,635,497",Series A,,Não tivemos acesso,,
ASAAS,"$32,634,057",Series A,Discard,Não se aplica,,
EmCasa,"$32,100,000",Series A,Discard,Não tivemos acesso,,
Sallve,"$31,750,000",Series A,Discard,Não tivemos acesso,,
Favo,"$31,100,000",Series A,Discard,Não tivemos acesso,,
SuperSim,"$30,641,509",Series A,Discard,Indefinido,,
Biotimize,"$30,000,000",Series A,Zero,Não tivemos acesso,,
Zak,"$29,100,000",Series A,Discard,Falso Negativo,,
CAF,"$29,098,578",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
Quicko,"$28,852,984",Series A,Discard,Não tivemos acesso,,
Docket,"$28,828,600",Series A,Discard,Não tivemos acesso,,
SouSmile,"$28,770,342",Series A,Discard,Dúvida,,
SWAP,"$28,300,000",Series A,Discard,Falso Negativo,,
FinanZero,"$28,288,817",Series A,Discard,Não se aplica,,
Trela,"$27,800,000",Series A,,Não tivemos acesso,,
Hilab,"$27,766,682",Series A,Registered,Não tivemos acesso,,
Gorila,"$27,500,000",Series A,Discard,Não tivemos acesso ,,
Osana,"$27,350,000",Series A,,Não tivemos acesso,,
Conta Simples,"$27,020,061",Series A,Portfolio,,,
Beep Saúde,"$26,778,096",Series A,Discard,Dúvida,,
Ali Credito,"$25,911,210",Series A,Discard,Dúvida,,
Pagaleve,"$25,851,098",Series A,,Não tivemos acesso,,
Remessa Online,"$25,690,179",Series A,Cadastro Startup,Não tivemos acesso,,
Hashdex,"$25,451,529",Series A,Discard,Não tivemos acesso,,
BizCapital,"$25,222,895",Series A,Discard,Dúvida,,
Pipo Saúde,"$24,600,000",Series A,Registered,Não tivemos acesso,,
Galena,"$24,200,000",Series A,,Não tivemos acesso,,
Auratec,"$24,108,998",Series A,,Não tivemos acesso,,
Z1,"$23,596,988",Series A,Discard,Falso Negativo,,
Volanty,"$23,400,000",Series A,Cadastro Startup,Não tivemos acesso,,
eureciclo,"$23,050,000",Series A,Discard,Dúvida,,
VIPe,"$22,998,037",Series A,,Não tivemos acesso,,
Foxbit,"$21,130,000",Series A,Discard,Dúvida,,
Agrotools,"$21,000,000",Series A,Cadastro Startup,Não tivemos acesso,,
Beejobs,"$20,400,000",Series A,Discard,Dúvida,,
smartbrain,"$20,000,000",Series A,Cadastro Startup,Não tivemos acesso,,
