Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename,Time Since Announced,Month,Classification
Norsul,https://www.crunchbase.com/organization/norsul,Pre Seed Round - Norsul,https://www.crunchbase.com/funding_round/norsul-pre-seed--61cd1c4b,,USD,,Pre-Seed,"Logistics, Marine Technology, Navigation",1963-01-01,,Lorinvest,Seed,,,,,,,Yes,"Norsul is a navigation company that specializes in the transportation of neo-bulk, project loads, dry bulk and liquid bulk loads globally.",,norsul.com,$100M to $500M,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",1963,norsul,,,,Nao tivemos acesso,22521,1,Nao tivemos acesso
Elephant,https://www.crunchbase.com/organization/elefante-com,Seed Round - Elephant,https://www.crunchbase.com/funding_round/elefante-com-seed--26676dc9,,USD,,Seed,"Online Portals, Personalization, Task Management",2000-01-31,,Warburg Pincus,Seed,,,,,,,Yes,Elephant operates as an online calendar and reminder service.,,elefante.com,,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2000,elephant,3549.0,elephant,elephantcoworking.com.br,Discard,8977,1,Pendente Classificação
PuntoCom Holdings,https://www.crunchbase.com/organization/puntocom-holdings,Seed Round - PuntoCom Holdings,https://www.crunchbase.com/funding_round/puntocom-holdings-seed--fa641de3,,USD,,Seed,"B2B, B2C, E-Commerce",2000-04-10,,CEMEX,Seed,,,,,,,Yes,PuntoCom Holdings e-business development accelerator.,,puntocom.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2000,puntocomholdings,,,,Nao tivemos acesso,8907,4,Nao tivemos acesso
Ceryx,https://www.crunchbase.com/organization/ceryx,Venture Round - Ceryx,https://www.crunchbase.com/funding_round/ceryx-series-unknown--d11452a1,,USD,,Venture - Series Unknown,"Information Technology, Software, Telecommunications",2001-01-01,,Eventi Capital Partners,,,,,,,,Yes,Ceryx Cloud Control is a granular administration application,,ceryx.com,,M&A,1,"Santo Amaro, Sao Paulo, Brazil, South America",2001,ceryx,,,,Nao tivemos acesso,8641,1,Nao tivemos acesso
DGF Investimentos,https://www.crunchbase.com/organization/dgf-investimentos,Seed Round - DGF Investimentos,https://www.crunchbase.com/funding_round/dgf-investimentos-seed--a1fba241,,USD,,Seed,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Mobile, SaaS, Software, Venture Capital",2001-03-01,,,Seed,,,,,,,Yes,DGF Investimentos is a venture capital firm focused on investments in the Brazilian technology space.,,dgf.com.br,$1M to $10M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2001,dgfinvestimentos,24739.0,dgfinvestimentos,dgf.com.br,Monitoramento,8582,3,Pendente Classificação
Penso Tecnologia,https://www.crunchbase.com/organization/penso-tecnologia,Pre Seed Round - Penso Tecnologia,https://www.crunchbase.com/funding_round/penso-tecnologia-pre-seed--1fa6181a,,USD,,Pre-Seed,Software,2003-01-01,,Mauricio Meismith,Seed,,,,,,,Yes,Penso Tecnologia is an IT company that provides IT solutions and services to enterprises and large companies.,,penso.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2003,pensotecnologia,,,,Nao tivemos acesso,7911,1,Nao tivemos acesso
.comDominio,https://www.crunchbase.com/organization/comdominio,Venture Round - .comDominio,https://www.crunchbase.com/funding_round/comdominio-series-unknown--f39abc56,,USD,,Venture - Series Unknown,"Information Technology, Internet, ISP",2004-02-12,,Stratus Group,,,,,,,,Yes,.comDominio is a Brazil-based company that offers its users with a wide range of internet-based services.,,comdominio.com.br,,,1,"Brazilia, Minas Gerais, Brazil, South America",2004,.comdominio,,,,Nao tivemos acesso,7504,2,Nao tivemos acesso
Satélite Distribuidora de Petróleo,https://www.crunchbase.com/organization/satélite-distribuidora-de-petróleo,Venture Round - Satélite Distribuidora de Petróleo,https://www.crunchbase.com/funding_round/satélite-distribuidora-de-petróleo-series-unknown--a99b1d76,,USD,,Venture - Series Unknown,"Energy, Energy Management, Oil and Gas, Service Industry",2004-04-13,Darby Technology Ventures,Darby Technology Ventures,,,,,,,,Yes,SATÉLITE Distribuidora de Petróleo SA owns and operates a chain of gas stations under the brand name SAT where it engages.,,,,,1,"Natal, Rio Grande do Sul, Brazil, South America",2004,satélitedistribuidoradepetróleo,,,,Nao tivemos acesso,7443,4,Nao tivemos acesso
EMBRIA Technologies,https://www.crunchbase.com/organization/embria-technologies,Angel Round - EMBRIA Technologies,https://www.crunchbase.com/funding_round/embria-technologies-angel--fc61bc79,350000.0,USD,350000.0,Angel,"Automotive, Enterprise Software, PaaS, SaaS, Security, Software",2004-09-11,,,Seed,350000.0,USD,350000.0,,,,Yes,"Embria Technologies offers a web platform for enterprise management app development, process automation, and real-time information control.",,embria.com.br,$1M to $10M,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2004,embriatechnologies,,,,Nao tivemos acesso,7292,9,Nao tivemos acesso
Wappa,https://www.crunchbase.com/organization/wappa,Seed Round - Wappa,https://www.crunchbase.com/funding_round/wappa-seed--cdb19c91,,USD,,Seed,"Delivery, Payments, Taxi Service",2005-01-01,DGF Investimentos,"DGF Investimentos, Rio Bravo",Seed,,,,,,,Yes,"Wappa is an online platform that offers taxi hailing, payment, and management services to its clients.",,wappa.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2005,wappa,26068.0,wappa,,Fazer Teste de Aderência,7180,1,Nao tivemos acesso
Comigo Saúde,https://www.crunchbase.com/organization/comigo-saúde,Pre Seed Round - Comigo Saúde,https://www.crunchbase.com/funding_round/comigo-saúde-pre-seed--66fd3909,100000.0,USD,100000.0,Pre-Seed,"Health Care, Internet, Software",2005-07-11,,,Seed,,,,,,,Yes,Comigo Saúde allows users to schedule healthcare appointments and exams at low prices.,,comigosaude.com.br,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2005,comigosaúde,3360.0,comigosaúde,comigosaude.com.br,Discard,6989,7,Indefinido
Hi-Midia,https://www.crunchbase.com/organization/hi-midia,Seed Round - Hi-Midia,https://www.crunchbase.com/funding_round/hi-midia-seed--eff9bc98,,USD,,Seed,"Advertising, Analytics, Semantic Search, SEO",2005-08-01,,AdUX,Seed,,,,,,,Yes,"Hi-Midia helps advertisers and agencies plan, execute, track and optimize their online campaigns.",,hi-midia.com,,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2005,hi-midia,,,,Nao tivemos acesso,6968,8,Nao tivemos acesso
Certisign,https://www.crunchbase.com/organization/certisign,Venture Round - Certisign,https://www.crunchbase.com/funding_round/certisign-series-unknown--a7551578,,USD,,Venture - Series Unknown,"Identity Management, Information Services, Information Technology, Security, Training",2005-08-31,,"Darby Technology Ventures, Intel Capital",,,,,,,,Yes,Certisign is a certifying authority that offers solutions for digital identification and innovation reference.,,certisign.com.br,$50M to $100M,,1,"São Paulo, Sao Paulo, Brazil, South America",2005,certisign,17605.0,certisign,,Registered,6938,8,Nao tivemos acesso
O2 Games,https://www.crunchbase.com/organization/o2-games,Seed Round - O2 Games,https://www.crunchbase.com/funding_round/o2-games-seed--abd7260b,750000.0,USD,750000.0,Seed,"Gaming, Information Technology, Internet, Social, Web Development",2005-12-05,,,Seed,750000.0,USD,750000.0,,,,Yes,"O2 Games is a systems development company that develops games for web, business simulation games, advergames, social games, and MMOs.",,o2games.com.br,$1M to $10M,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2005,o2games,21377.0,o2games,o2games.com.br,Fazer Teste de Aderência,6842,12,Nao tivemos acesso
ikwa,https://www.crunchbase.com/organization/ikwa-orientao-profissional,Seed Round - ikwa,https://www.crunchbase.com/funding_round/ikwa-orientao-profissional-seed--3532f4bd,,USD,,Seed,"Career Planning, Education, Online Portals",2006-01-01,,monashees,Seed,,,,,,,Yes,Ikwa is an online platform that enables its users to find courses for support study and career decisions.,,ikwa.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2006,ikwa,,,,Nao tivemos acesso,6815,1,Nao tivemos acesso
Wallerius,https://www.crunchbase.com/organization/wallerius,Seed Round - Wallerius,https://www.crunchbase.com/funding_round/wallerius-seed--dc7f807b,500000.0,BRL,233488.0,Seed,Food Processing,2006-12-12,,CRP Companhia de Participações,Seed,500000.0,BRL,233487.0,,,,Yes,"Wallerius offers candies, lollipops, and bubble gums.",,,,Seed,1,"Rio Grande Do Sul, Rio Grande do Sul, Brazil, South America",2006,wallerius,,,,Nao tivemos acesso,6470,12,Nao tivemos acesso
GIT - Sistemas Ltda,https://www.crunchbase.com/organization/git-sistemas-ltda,Seed Round - GIT - Sistemas Ltda,https://www.crunchbase.com/funding_round/git-sistemas-ltda-seed--3c5f85c0,,USD,,Seed,"Enterprise Software, Information Technology, SaaS, Software",2007-01-05,,,Seed,,,,,,,Yes,"GIT Sistemas is a ""not-only-for-profit"" company focused on providing innovative SaaS web applications for Brazilian Dry Ports (Porto Seco).",,git.com.br,$1M to $10M,Seed,1,"Novo Hamburgo, Rio Grande do Sul, Brazil, South America",2007,git-sistemasltda,,,,Nao tivemos acesso,6446,1,Nao tivemos acesso
Tamago,https://www.crunchbase.com/organization/tamago,Angel Round - Tamago,https://www.crunchbase.com/funding_round/tamago-angel--7cdbbfa2,150000.0,USD,150000.0,Angel,"Art, Audio, Digital Media, Service Industry, Video",2007-03-01,,,Seed,150000.0,USD,150000.0,,,,Yes,Tamago is an audiovisual production company providing services for artists to connect with each other and sell their creations.,,tamago.us,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2007,tamago,,,,Nao tivemos acesso,6391,3,Nao tivemos acesso
Family-Mingle,https://www.crunchbase.com/organization/family-mingle,Angel Round - Family-Mingle,https://www.crunchbase.com/funding_round/family-mingle-angel--5d4da885,100000.0,USD,100000.0,Angel,"Events, Messaging, Social Network",2007-09-01,,,Seed,100000.0,USD,100000.0,,,,Yes,"Family Mingle is a social networking site for users to share photos, post messages, and schedule events with their family tree.",,family-mingle.com,$1M to $10M,Seed,1,"Israelândia, Goias, Brazil, South America",2007,family-mingle,,,,Nao tivemos acesso,6207,9,Nao tivemos acesso
Captalis,https://www.crunchbase.com/organization/captalis-com,Seed Round - Captalis,https://www.crunchbase.com/funding_round/captalis-com-seed--10fa0cc1,100000.0,EUR,150901.0,Seed,"Financial Services, Lead Generation, Price Comparison",2007-09-01,,#adm VENTURES,Seed,,,,,,,Yes,Captalis is a financial service that operates a network of portals for Internet users to search for information on financial products.,,captalis.com/index.html,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2007,captalis,,,,Nao tivemos acesso,6207,9,Nao tivemos acesso
Rede Colibri,https://www.crunchbase.com/organization/rede-colibri,Seed Round - Rede Colibri,https://www.crunchbase.com/funding_round/rede-colibri-seed--6766c1c3,1300000.0,USD,1300000.0,Seed,"Real Estate, SaaS",2007-09-20,,,Seed,1300000.0,USD,1300000.0,,,,Yes,Rede Colibri is a SaaS company that offers online real estate marketing solution for small and medium business.,,redecolibri.com.br,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2007,redecolibri,21325.0,colibriconectado,redecolibri.com.br,Fazer Teste de Aderência,6188,9,Nao tivemos acesso
Docubox,https://www.crunchbase.com/organization/docubox,Venture Round - Docubox,https://www.crunchbase.com/funding_round/docubox-series-unknown--e46b2d5f,,USD,,Venture - Series Unknown,"Information Technology, Software",2007-12-10,,,,,,,,,,Yes,Docubox offers enterprise productivity software for document scanning and control.,,docubox.spscom.com.br/Login.aspx,$1M to $10M,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2007,docubox,,,,Nao tivemos acesso,6107,12,Nao tivemos acesso
Zura!,https://www.crunchbase.com/organization/zura,Seed Round - Zura!,https://www.crunchbase.com/funding_round/zura-seed--2a93c346,,USD,,Seed,"E-Commerce, Information Technology, Internet",2008-01-01,,Ideiasnet,Seed,,,,,,,Yes,"Zura is an online purchase services provider, aiming to become the main source of information for e-commerce in Brazil.",,zura.com.br,,Seed,1,"Brasil, Sao Paulo, Brazil, South America",2008,zura!,,,,Nao tivemos acesso,6085,1,Nao tivemos acesso
OXIBIZ,https://www.crunchbase.com/organization/oxibiz,Pre Seed Round - OXIBIZ,https://www.crunchbase.com/funding_round/oxibiz-pre-seed--a341114f,450000.0,BRL,266957.0,Pre-Seed,"B2B, E-Commerce, Internet, Payments, Small and Medium Businesses",2008-03-01,Cassio Jose Krupinsk,Cassio Jose Krupinsk,Seed,450000.0,BRL,266957.0,4000000.0,BRL,2372953.0,Yes,"OXIBIZ, a social network for businesses, helps companies find opportunities, relationships, tools, and partners.",,oxibiz.com,$1M to $10M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2008,oxibiz,,,,Nao tivemos acesso,6025,3,Nao tivemos acesso
Finggers Mobile,https://www.crunchbase.com/organization/finggers-mobile,Angel Round - Finggers Mobile,https://www.crunchbase.com/funding_round/finggers-mobile-angel--69c3ff55,50000.0,USD,50000.0,Angel,"Apps, Information Technology, Internet, Mobile, Software",2008-03-04,,,Seed,50000.0,USD,50000.0,,,,Yes,"Finggers enables users to share their favorite apps for iPhone, iPad, and Android; and discover apps recommended by their friends.",,finggers.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2008,finggersmobile,,,,Nao tivemos acesso,6022,3,Nao tivemos acesso
Global Experience,https://www.crunchbase.com/organization/global-experience,Seed Round - Global Experience,https://www.crunchbase.com/funding_round/global-experience-seed--275bd33e,50000.0,USD,50000.0,Seed,,2008-04-01,,"Andre Garofallis Silva, Andre Luiz Alves Lunardelli, Andrei Malhado Silva",Seed,50000.0,USD,50000.0,500000.0,USD,500000.0,Yes,Global Experiences is a provider of customized international internship programs for university students and graduates.,,,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America",2008,globalexperience,,,,Nao tivemos acesso,5994,4,Nao tivemos acesso
Dindong,https://www.crunchbase.com/organization/dindong,Seed Round - Dindong,https://www.crunchbase.com/funding_round/dindong-seed--23d781e7,250000.0,USD,250000.0,Seed,"Event Management, Events, Reservations, Software, Ticketing",2008-05-01,,,Seed,250000.0,USD,250000.0,,,,Yes,"Dindong is a Brazilian-based online invitation and event management website with customizable email invitations, event web pages, and more.",,dindong.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2008,dindong,,,,Nao tivemos acesso,5964,5,Nao tivemos acesso
Rizoflora Biotechnology,https://www.crunchbase.com/organization/rizoflora-biotechnology,Venture Round - Rizoflora Biotechnology,https://www.crunchbase.com/funding_round/rizoflora-biotechnology-series-unknown--d391e46c,1111000.0,USD,1111000.0,Venture - Series Unknown,"Agriculture, Biotechnology, Manufacturing",2008-06-12,,Criatec Fund,,1111000.0,USD,1111000.0,,,,Yes,Rizoflora Biotechnology is a producer of biological product designed for nematodes control.,,rizoflora.com.br,,,1,"Minas Gerais, Acre, Brazil, South America",2008,rizoflorabiotechnology,,,,Nao tivemos acesso,5922,6,Nao tivemos acesso
AD.Dialeto Agencia de Publicidade,https://www.crunchbase.com/organization/digital-agency-ad-dialeto,Debt Financing - AD.Dialeto Agencia de Publicidade,https://www.crunchbase.com/funding_round/digital-agency-ad-dialeto-debt-financing--6f8e68ab,150000.0,USD,150000.0,Debt Financing,"Content, Digital Marketing, E-Commerce, Public Relations",2009-01-01,,Leonardo Cid Ferreira,,150000.0,USD,150000.0,,,,No,AD.Dialeto Agencia de Publicidade provides digital marketing services.,,addialeto.net,,M&A,1,"Vila Olímpia, Sao Paulo, Brazil, South America",2009,ad.dialetoagenciadepublicidade,,,,Nao tivemos acesso,5719,1,Nao tivemos acesso
