,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
0,.comDominio,,Venture - Series Unknown,"Information Technology, Internet, ISP",2004-02-12,,Stratus Group,,,,Yes,.comDominio is a Brazil-based company that offers its users with a wide range of internet-based services.,http://www.comdominio.com.br,,,1,"Brazilia, Minas Gerais, Brazil, South America",2004,
1,00K E-Commerce Tools,,Convertible Note,"E-Commerce, Information Services, Marketing, Online Portals, Software",2015-08-01,,Mercado Libre Fund,,,,No,00K develops e-commerce solutions for online platforms.,http://www.00k.com.br/,,,1,"São Paulo, Sao Paulo, Brazil, South America",2015,
3,100 Open Startups,1468348.0,Seed,Information Technology,2020-08-01,100 Open Angels,100 Open Angels,Seed,957368.0,,Yes,100 Open Startups is a digital platform that uses technology and data to facilitate the co-creation of businesses.,https://www.openstartups.net/site/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,761.0
4,100 Open Startups,1468348.0,Seed,Information Technology,2020-08-01,100 Open Angels,Bossanova Investimentos,Seed,957368.0,,Yes,100 Open Startups is a digital platform that uses technology and data to facilitate the co-creation of businesses.,https://www.openstartups.net/site/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,761.0
5,100 Open Startups,1468348.0,Seed,Information Technology,2020-08-01,100 Open Angels,DOMO.VC,Seed,957368.0,,Yes,100 Open Startups is a digital platform that uses technology and data to facilitate the co-creation of businesses.,https://www.openstartups.net/site/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,761.0
9,123Hotel,48237.0,Pre-Seed,"Apps, Hotel, Mobile Apps",2019-12-10,WOW Aceleradora,WOW Aceleradora,Seed,48236.0,602961.0,Yes,123Hotel is a mobile application that allows users to book a hotel room fast and easy.,https://www.123hotel.com.br/,,Seed,1,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2019,
10,123Projetei,777529.0,Venture - Series Unknown,"Construction, Home Decor, Home Services, Interior Design, Real Estate",2022-11-08,Investidores.VC,BR Angels,,777529.0,,Yes,123Projetei specializes in real estate solutions.,http://www.123projetei.com.br/,,,1,"Rio Grande, Rio de Janeiro, Brazil, South America",2022,
11,123Projetei,777529.0,Venture - Series Unknown,"Construction, Home Decor, Home Services, Interior Design, Real Estate",2022-11-08,Investidores.VC,Gvangels,,777529.0,,Yes,123Projetei specializes in real estate solutions.,http://www.123projetei.com.br/,,,1,"Rio Grande, Rio de Janeiro, Brazil, South America",2022,
12,123Projetei,777529.0,Venture - Series Unknown,"Construction, Home Decor, Home Services, Interior Design, Real Estate",2022-11-08,Investidores.VC,Hangar 8 Capital,,777529.0,,Yes,123Projetei specializes in real estate solutions.,http://www.123projetei.com.br/,,,1,"Rio Grande, Rio de Janeiro, Brazil, South America",2022,
13,123Projetei,777529.0,Venture - Series Unknown,"Construction, Home Decor, Home Services, Interior Design, Real Estate",2022-11-08,Investidores.VC,Investidores.VC,,777529.0,,Yes,123Projetei specializes in real estate solutions.,http://www.123projetei.com.br/,,,1,"Rio Grande, Rio de Janeiro, Brazil, South America",2022,
