,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight (US Headquarters Only),Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location
0,Dude,https://www.crunchbase.com/organization/dude-2,Angel Round - Dude,https://www.crunchbase.com/funding_round/dude-2-angel--a18e8cf7,30000.0,USD,30000.0,Angel,"Apps, Mobile, Sports",2014-01-01,,,Seed,30000.0,USD,30000.0,,,,Yes,"Dude is an application where you locate, create and share action sports and outdoor activities.",,http://www.dude.io,$1M to $10M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
1,Shipfy,https://www.crunchbase.com/organization/shipfy,Venture Round - Shipfy,https://www.crunchbase.com/funding_round/shipfy-series-unknown--5501f578,,USD,,Venture - Series Unknown,"E-Commerce, Real Time, Shipping, Transportation",2014-01-01,ACE Ventures,"ACE Ventures, Bossanova Investimentos",,,,,,,,Yes,Shipfyreal is an online and real time package tracking that alerts its customers of their order whereabouts.,,http://www.shipfy.com/,,M&A,2,"São Paulo, Sao Paulo, Brazil, South America"
2,Athenas,https://www.crunchbase.com/organization/athenas-s-a,Seed Round - Athenas,https://www.crunchbase.com/funding_round/athenas-s-a-seed--760a1fdf,,USD,,Seed,"Industrial Automation, Information Technology, Logistics, Software",2014-01-01,,21212,Seed,,,,,,,Yes,Athenas develops innovative technology products to improve logistics operations.,,http://athen.as,$1M to $10M,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
3,HomeCredi,https://www.crunchbase.com/organization/homecredi,Venture Round - HomeCredi,https://www.crunchbase.com/funding_round/homecredi-series-unknown--790e87fe,,USD,,Venture - Series Unknown,Financial Services,2014-01-01,,Bossanova Investimentos,,,,,,,,Yes,HomeCredi is a real estate financing and loans with property as a guarantee.,,https://homecredi.com.br/,,,2,"São Paulo, Sao Paulo, Brazil, South America"
4,Responde Ai,https://www.crunchbase.com/organization/responde-ai,Seed Round - Responde Ai,https://www.crunchbase.com/funding_round/responde-ai-seed--81cad64b,,USD,,Seed,"Artificial Intelligence (AI), E-Learning, Education, Internet, Software",2014-01-01,,21212,Seed,,,,,,,Yes,Responde Ai is an online platform that helps college students optimize studies and have better test scores.,,https://www.respondeai.com.br,Less than $1M,Seed,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
5,SkyHub,https://www.crunchbase.com/organization/skyhub-400e,Venture Round - SkyHub,https://www.crunchbase.com/funding_round/skyhub-400e-series-unknown--0906c8fd,,USD,,Venture - Series Unknown,SaaS,2014-01-01,ACE Ventures,"ACE Ventures, Bossanova Investimentos",,,,,,,,Yes,SkyHub is a provider of software-as-a-service solutions.,,https://skyhub.com.br/,$1M to $10M,M&A,2,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
6,NZN,https://www.crunchbase.com/organization/nzn,Private Equity Round - NZN,https://www.crunchbase.com/funding_round/nzn-private-equity--c1960dfd,,USD,,Private Equity,"Advertising, Content, Content Creators, Content Marketing, Manufacturing",2014-01-01,,,Private Equity,,,,,,,Yes,NZN is a vertical manufacturer that delivers advertising solutions and online communication in exclusive services.,,http://nzn.io/,,Private Equity,1,"São Paulo, Sao Paulo, Brazil, South America"
7,Sequoia Logistica,https://www.crunchbase.com/organization/grupo-sequoia,Private Equity Round - Sequoia Logistica,https://www.crunchbase.com/funding_round/grupo-sequoia-private-equity--52f4e348,,USD,,Private Equity,"Automotive, Logistics, Supply Chain Management",2014-01-01,,Warburg Pincus,Private Equity,,,,,,,Yes,Sequoia is a logistics company that works for improvement in the logistics and transport services.,,http://www.sequoialog.com.br/,$100M to $500M,IPO,1,"Embu, Sao Paulo, Brazil, South America"
8,Data Mundus,https://www.crunchbase.com/organization/data-mundus,Seed Round - Data Mundus,https://www.crunchbase.com/funding_round/data-mundus-seed--f22f4cff,,USD,,Seed,"Big Data, Computer, Information Technology, Software",2014-01-01,ACE Ventures,ACE Ventures,Seed,,,,,,,Yes,Data Mundus transforms digital or analogue information collections into structured data and useful information.,,http://datamundus.com.br/,,Seed,2,"Porto Alegre, Rio Grande do Sul, Brazil, South America"
9,Moneto,https://www.crunchbase.com/organization/contapaga,Angel Round - Moneto,https://www.crunchbase.com/funding_round/contapaga-angel--705b56dd,600000.0,USD,600000.0,Angel,"Apps, Financial Services, FinTech, Mobile Payments, Payments",2014-01-01,,Marcos Arruda,Seed,,,,,,,Yes,Moneto automates and controls the receipt and management of sales in small businesses and insurance companies.,,http://www.moneto.app,$1M to $10M,Seed,4,"São José Dos Campos, Sao Paulo, Brazil, South America"
